名前,No/ぜんこく,No/セントラル,タイプ/0,タイプ/1,進化/0/Lv,進化/0/名前,進化/1/Lv,進化/1/名前,進化/2/Lv,進化/2/名前,種族値/H,種族値/A,種族値/B,種族値/C,種族値/D,種族値/S,種族値/平均,種族値/合計,努力値/H,努力値/A,努力値/B,努力値/C,努力値/D,努力値/S,隠しデータ/捕獲率,隠しデータ/初期なつき,隠しデータ/オス率,隠しデータ/メス率,タマゴ/歩数,タマゴ/グループ/0,タマゴ/グループ/1,特性/通常/0/名前,特性/通常/0/説明,特性/隠れ/名前,特性/隠れ/説明,特性/通常/1/名前,特性/通常/1/説明,No/マウンテン/str,No/マウンテン/num,No/ホウエン/str,No/ホウエン/num,No/コースト/str,No/コースト/num,進化/3/Lv,進化/3/名前,進化/4/Lv,進化/4/名前,進化/5/Lv,進化/5/名前,進化/6/Lv,進化/6/名前,進化/7/Lv,進化/7/名前,進化/8/Lv,進化/8/名前,特性/通常/2/名前,特性/通常/2/説明
オーベム,606,,エスパー,,1,リグレー,42,オーベム,,,75,75,75,125,95,40,80.8,485,0,0,0,2,0,0,90,70,50,50,5120,人型,,テレパシー,味方の技のダメージを受けない。,アナライズ,自分の攻撃がターンで一番最後の時、技の威力が1.3倍になる。,シンクロ,『どく』『まひ』『やけど』状態になった時、相手も同じ状態異常になる。／同じ『せいかく』の野生のポケモンと出会いやすくなる。,,,,,,,,,,,,,,,,,,,,
ヒトモシ,607,,ゴースト,ほのお,1,ヒトモシ,41,ランプラー,1,シャンデラ,50,30,55,65,55,20,45.8,275,0,0,0,1,0,0,190,70,50,50,5120,不定形,,もらいび,『ほのお』タイプの技のダメージや効果を受けず、以後自分の『ほのお』タイプの技の威力が1.5倍になる。,すりぬけ,相手の『リフレクター』『ひかりのかべ』『しろいきり』『しんぴのまもり』『みがわり』の効果を受けない。,ほのおのからだ,直接攻撃を受けると、30%の確率で相手を『やけど』状態にする。／『てもち』にいると、ポケモンのタマゴが2倍かえりやすくなる。,065,65,,,,,,,,,,,,,,,,,,
ランプラー,608,,ゴースト,ほのお,1,ヒトモシ,41,ランプラー,1,シャンデラ,60,40,60,95,60,55,61.7,370,0,0,0,2,0,0,90,70,50,50,5120,不定形,,もらいび,『ほのお』タイプの技のダメージや効果を受けず、以後自分の『ほのお』タイプの技の威力が1.5倍になる。,すりぬけ,相手の『リフレクター』『ひかりのかべ』『しろいきり』『しんぴのまもり』『みがわり』の効果を受けない。,ほのおのからだ,直接攻撃を受けると、30%の確率で相手を『やけど』状態にする。／『てもち』にいると、ポケモンのタマゴが2倍かえりやすくなる。,066,66,,,,,,,,,,,,,,,,,,
シャンデラ,609,,ゴースト,ほのお,1,ヒトモシ,41,ランプラー,1,シャンデラ,60,55,90,145,90,80,86.7,520,0,0,0,3,0,0,45,70,50,50,5120,不定形,,もらいび,『ほのお』タイプの技のダメージや効果を受けず、以後自分の『ほのお』タイプの技の威力が1.5倍になる。,すりぬけ,相手の『リフレクター』『ひかりのかべ』『しろいきり』『しんぴのまもり』『みがわり』の効果を受けない。,ほのおのからだ,直接攻撃を受けると、30%の確率で相手を『やけど』状態にする。／『てもち』にいると、ポケモンのタマゴが2倍かえりやすくなる。,067,67,,,,,,,,,,,,,,,,,,
キバゴ,610,148,ドラゴン,,1,キバゴ,38,オノンド,48,オノノクス,46,87,60,30,40,57,53.3,320,0,1,0,0,0,0,75,35,50,50,10240,怪獣,ドラゴン,とうそうしん,性別が同じ相手に対しては『こうげき』『とくこう』が1.25倍になるが、異なる場合は0.75倍になる。性別のないポケモンの場合は効果がない。,きんちょうかん,すべての相手は『きのみ』を使用できなくなる。,かたやぶり,相手の特性の影響を受けずに攻撃できる。ただし、攻撃後に受ける効果は消えない。,,,,,,,,,,,,,,,,,,,,
オノンド,611,149,ドラゴン,,1,キバゴ,38,オノンド,48,オノノクス,66,117,70,40,50,67,68.3,410,0,2,0,0,0,0,60,35,50,50,10240,怪獣,ドラゴン,とうそうしん,性別が同じ相手に対しては『こうげき』『とくこう』が1.25倍になるが、異なる場合は0.75倍になる。性別のないポケモンの場合は効果がない。,きんちょうかん,すべての相手は『きのみ』を使用できなくなる。,かたやぶり,相手の特性の影響を受けずに攻撃できる。ただし、攻撃後に受ける効果は消えない。,,,,,,,,,,,,,,,,,,,,
オノノクス,612,150,ドラゴン,,1,キバゴ,38,オノンド,48,オノノクス,76,147,90,60,70,97,90,540,0,3,0,0,0,0,45,35,50,50,10240,怪獣,ドラゴン,とうそうしん,性別が同じ相手に対しては『こうげき』『とくこう』が1.25倍になるが、異なる場合は0.75倍になる。性別のないポケモンの場合は効果がない。,きんちょうかん,すべての相手は『きのみ』を使用できなくなる。,かたやぶり,相手の特性の影響を受けずに攻撃できる。ただし、攻撃後に受ける効果は消えない。,,,,,,,,,,,,,,,,,,,,
クマシュン,613,,こおり,,1,クマシュン,37,ツンベアー,,,55,70,40,60,40,40,50.8,305,0,1,0,0,0,0,120,70,50,50,5120,陸上,,ゆきがくれ,天気が『あられ』の時、相手の技の命中率が0.8倍になる。また、『あられ』によるダメージを受けない。／フィールドの天気が『あられ』の時、野生のポケモンと出会いにくくなる。,びびり,『ゴースト』『むし』『あく』タイプの技を受けた時、『すばやさ』ランクが1段階上がる。,,,081,81,,,,,,,,,,,,,,,,,,
ツンベアー,614,,こおり,,1,クマシュン,37,ツンベアー,,,95,110,80,70,80,50,80.8,485,0,2,0,0,0,0,60,70,50,50,5120,陸上,,ゆきがくれ,天気が『あられ』の時、相手の技の命中率が0.8倍になる。また、『あられ』によるダメージを受けない。／フィールドの天気が『あられ』の時、野生のポケモンと出会いにくくなる。,すいすい,天気が『あめ』の時、『すばやさ』が2倍になる。,,,082,82,,,,,,,,,,,,,,,,,,
フリージオ,615,,こおり,,,,,,,,70,50,30,95,135,105,80.8,485,0,0,0,0,2,0,25,70,,,6400,鉱物 (性別不明),,ふゆう,『じめん』タイプの技を受けない。,,,,とけないこおり,111,111,,,,,,,,,,,,,,,,,,
チョボマキ,616,,むし,,1,チョボマキ,1,アギルダーカブルモチョボマキ,,,50,40,85,40,65,25,50.8,305,0,0,1,0,0,0,200,70,50,50,3840,虫,,うるおいボディ,天気が『あめ』の時、ターン終了時に状態異常が回復する。,ぼうじん,天気『あられ』『すなあらし』によるダメージを受けない。粉系の技『いかりのこな』『キノコのほうし』『しびれごな』『どくのこな』『ねむりごな』『ふんじん』『わたほうし』、特性『ほうし』の効果を受けない。,シェルアーマー,自分への攻撃は急所に当たらない。,024,24,,,,,,,,,,,,,,,,,,
アギルダー,617,,むし,,1,チョボマキ,1,アギルダーカブルモチョボマキ,,,80,70,40,100,60,145,82.5,495,0,0,0,0,0,2,75,70,50,50,3840,虫,,うるおいボディ,天気が『あめ』の時、ターン終了時に状態異常が回復する。,かるわざ,持っている道具がなくなると『すばやさ』が2倍になる。再び道具を持つと元に戻る。最初から道具を持っていない場合は効果がない。,ねんちゃく,持っている道具を相手に奪われない。／『てもち』の先頭にいると釣りが成功しやすくなる。,025,25,,,,,,,,,,,,,,,,,,
マッギョ,618,,じめん,でんき,,,,,,,109,66,84,81,99,32,78.5,471,2,0,0,0,0,0,75,70,50,50,5120,水中1,不定形,せいでんき,直接攻撃を受けると、30%の確率で相手を『まひ』状態にする。／『でんき』タイプの野生のポケモンと出会いやすくなる。,すながくれ,天気が『すなあらし』の時、回避率が上がる。また、『すなあらし』によるダメージを受けない。／フィールドの天気が『すなあらし』の時、野生のポケモンと出会いにくくなる。,じゅうなん,『まひ』状態にならない。,039,39,,,,,,,,,,,,,,,,,,
コジョフー,619,,かくとう,,1,コジョフー,50,コジョンド,,,45,85,50,55,50,65,58.3,350,0,1,0,0,0,0,180,70,50,50,6400,陸上,人型,せいしんりょく,相手の技で『ひるみ』状態にならない。技『きあいパンチ』には影響しない。,すてみ,技『アフロブレイク』『ウッドハンマー』『じごくぐるま』『すてみタックル』『とっしん』『とびげり』『とびひざげり』『もろはのずつき』『フレアドライブ』『ブレイブバード』『ボルテッカー』『ワイルドボルト』の威力が1.2倍になる。,さいせいりょく,他のポケモンに交代するとHPが最大HPの1/3回復する。,,,,,003,3,,,,,,,,,,,,,,
コジョンド,620,,かくとう,,1,コジョフー,50,コジョンド,,,65,125,60,95,60,105,85,510,0,2,0,0,0,0,45,70,50,50,6400,陸上,人型,せいしんりょく,相手の技で『ひるみ』状態にならない。技『きあいパンチ』には影響しない。,すてみ,技『アフロブレイク』『ウッドハンマー』『じごくぐるま』『すてみタックル』『とっしん』『とびげり』『とびひざげり』『もろはのずつき』『フレアドライブ』『ブレイブバード』『ボルテッカー』『ワイルドボルト』の威力が1.2倍になる。,さいせいりょく,他のポケモンに交代するとHPが最大HPの1/3回復する。,,,,,004,4,,,,,,,,,,,,,,
クリムガン,621,,ドラゴン,,,,,,,,77,120,90,60,90,48,80.8,485,0,2,0,0,0,0,45,70,50,50,7680,ドラゴン,怪獣,さめはだ,直接攻撃を受けると、相手のHPを相手の最大HPの1/8減らす。,かたやぶり,相手の特性の影響を受けずに攻撃できる。ただし、攻撃後に受ける効果は消えない。,ちからずく,追加効果のある技を使うと、追加効果が発動しない代わりに威力が1.3倍になる。,141,141,,,,,,,,,,,,,,,,,,
ゴビット,622,,じめん,ゴースト,1,ゴビット,43,ゴルーグ,,,59,74,50,35,50,35,50.5,303,0,1,0,0,0,0,190,70,,,6400,鉱物 (性別不明),,てつのこぶし,パンチ系の技『アームハンマー』『かみなりパンチ』『きあいパンチ』『グロウパンチ』『コメットパンチ』『シャドーパンチ』『スカイアッパー』『ドレインパンチ』『ばくれつパンチ』『バレットパンチ』『ピヨピヨパンチ』『ほのおのパンチ』『マッハパンチ』『メガトンパンチ』『れいとうパンチ』『れんぞくパンチ』の威力が1.2倍になる。,ノーガード,お互いに技が命中率・回避率に関係なく必ず命中する。／野生のポケモンと出会いやすくなる。,ぶきよう,持っている道具の効果が発揮されない。,,,,,091,91,,,,,,,,,,,,,,
ゴルーグ,623,,じめん,ゴースト,1,ゴビット,43,ゴルーグ,,,89,124,80,55,80,55,80.5,483,0,2,0,0,0,0,90,70,,,6400,鉱物 (性別不明),,てつのこぶし,パンチ系の技『アームハンマー』『かみなりパンチ』『きあいパンチ』『グロウパンチ』『コメットパンチ』『シャドーパンチ』『スカイアッパー』『ドレインパンチ』『ばくれつパンチ』『バレットパンチ』『ピヨピヨパンチ』『ほのおのパンチ』『マッハパンチ』『メガトンパンチ』『れいとうパンチ』『れんぞくパンチ』の威力が1.2倍になる。,ノーガード,お互いに技が命中率・回避率に関係なく必ず命中する。／野生のポケモンと出会いやすくなる。,ぶきよう,持っている道具の効果が発揮されない。,,,,,092,92,,,,,,,,,,,,,,
コマタナ,624,,あく,はがね,1,コマタナ,52,キリキザン,,,45,85,70,40,40,60,56.7,340,0,1,0,0,0,0,120,35,50,50,5120,人型,,まけんき,相手の技や特性で『のうりょく』ランクが下がった時、自分の『こうげき』ランクが2段階上がる。,プレッシャー,技を受けた時、技のPPを2減らす。／レベルの高い野生のポケモンと出会いやすくなる。,せいしんりょく,相手の技で『ひるみ』状態にならない。技『きあいパンチ』には影響しない。,048,48,,,,,,,,,,,,,,,,,,
キリキザン,625,,あく,はがね,1,コマタナ,52,キリキザン,,,65,125,100,60,70,70,81.7,490,0,2,0,0,0,0,45,35,50,50,5120,人型,,まけんき,相手の技や特性で『のうりょく』ランクが下がった時、自分の『こうげき』ランクが2段階上がる。,プレッシャー,技を受けた時、技のPPを2減らす。／レベルの高い野生のポケモンと出会いやすくなる。,せいしんりょく,相手の技で『ひるみ』状態にならない。技『きあいパンチ』には影響しない。,049,49,,,,,,,,,,,,,,,,,,
バッフロン,626,,ノーマル,,,,,,,,95,110,95,40,95,55,81.7,490,0,2,0,0,0,0,45,70,50,50,5120,陸上,,すてみ,技『アフロブレイク』『ウッドハンマー』『じごくぐるま』『すてみタックル』『とっしん』『とびげり』『とびひざげり』『もろはのずつき』『フレアドライブ』『ブレイブバード』『ボルテッカー』『ワイルドボルト』の威力が1.2倍になる。,ぼうおん,音の技『いびき』『いやしのすず』『いやなおと』『うたう』『エコーボイス』『おしゃべり』『おたけび』『きんぞくおん』『くさぶえ』『さわぐ』『すてゼリフ』『チャームボイス』『ちょうおんぱ』『ないしょばなし』『なきごえ』『バークアウト』『ハイパーボイス』『ばくおんぱ』『ほえる』『ほろびのうた』『むしのさざめき』『りんしょう』を受けない。,そうしょく,『くさ』タイプの技を受けると技が無効化され、『こうげき』ランクが1段階上がる。,,,,,,,,,,,,,,,,,,,,
ワシボン,627,,ノーマル,ひこう,1,ワシボン,54,ウォーグル,,,70,83,50,37,50,60,58.3,350,0,1,0,0,0,0,190,70,100,,5120,飛行,,するどいめ,命中率ランクが下がらない。相手の回避率ランクが上がっていても、影響を受けない。／レベルの低い野生のポケモンと出会いにくくなる。,はりきり,『こうげき』が1.5倍になるが、物理攻撃の命中率が0.8倍になる。／レベルの高い野生のポケモンと出会いやすくなる。,ちからずく,追加効果のある技を使うと、追加効果が発動しない代わりに威力が1.3倍になる。,,,,,,,,,,,,,,,,,,,,
ウォーグル,628,,ノーマル,ひこう,1,ワシボン,54,ウォーグル,,,100,123,75,57,75,80,85,510,0,2,0,0,0,0,60,70,100,,5120,飛行,,するどいめ,命中率ランクが下がらない。相手の回避率ランクが上がっていても、影響を受けない。／レベルの低い野生のポケモンと出会いにくくなる。,まけんき,相手の技や特性で『のうりょく』ランクが下がった時、自分の『こうげき』ランクが2段階上がる。,ちからずく,追加効果のある技を使うと、追加効果が発動しない代わりに威力が1.3倍になる。,,,,,,,,,,,,,,,,,,,,
バルチャイ,629,,あく,ひこう,1,バルチャイ,54,バルジーナ,,,70,55,75,45,65,60,61.7,370,0,0,1,0,0,0,190,35,,100,5120,飛行,,はとむね,相手の『ぼうぎょ』ランクを下げる技や特性の効果を受けない。,くだけるよろい,物理技を受けると、『ぼうぎょ』ランクが1段階下がり、『すばやさ』ランクが1段階上がる。,ぼうじん,天気『あられ』『すなあらし』によるダメージを受けない。粉系の技『いかりのこな』『キノコのほうし』『しびれごな』『どくのこな』『ねむりごな』『ふんじん』『わたほうし』、特性『ほうし』の効果を受けない。,,,,,,,,,,,,,,,,,,,,
バルジーナ,630,,あく,ひこう,1,バルチャイ,54,バルジーナ,,,110,65,105,55,95,80,85,510,0,0,0,2,0,0,60,35,,100,5120,飛行,,はとむね,相手の『ぼうぎょ』ランクを下げる技や特性の効果を受けない。,くだけるよろい,物理技を受けると、『ぼうぎょ』ランクが1段階下がり、『すばやさ』ランクが1段階上がる。,ぼうじん,天気『あられ』『すなあらし』によるダメージを受けない。粉系の技『いかりのこな』『キノコのほうし』『しびれごな』『どくのこな』『ねむりごな』『ふんじん』『わたほうし』、特性『ほうし』の効果を受けない。,,,,,,,,,,,,,,,,,,,,
クイタラン,631,,ほのお,,,,,,,,85,97,66,105,66,65,80.7,484,0,0,0,2,0,0,90,70,50,50,5120,陸上,,くいしんぼう,通常より早く、HPが最大HPの半分以下になると『きのみ』を使う。,しろいけむり,相手の『のうりょく』ランクを下げる技や特性の効果を受けない。／野生のポケモンと出会いにくくなる。,もらいび,『ほのお』タイプの技のダメージや効果を受けず、以後自分の『ほのお』タイプの技の威力が1.5倍になる。,105,105,,,,,,,,,,,,,,,,,,
アイアント,632,,むし,はがね,,,,,,,58,109,112,48,48,109,80.7,484,0,0,2,0,0,0,90,70,50,50,5120,虫,,むしのしらせ,HPが1/3以下の時、『むし』タイプの技の威力が1.5倍になる。,なまけ,1ターンおきにしか技が使えない。,はりきり,『こうげき』が1.5倍になるが、物理攻撃の命中率が0.8倍になる。／レベルの高い野生のポケモンと出会いやすくなる。,106,106,,,,,,,,,,,,,,,,,,
モノズ,633,,あく,ドラゴン,1,モノズ,50,ジヘッド,64,サザンドラ,52,65,50,45,50,38,50,300,0,1,0,0,0,0,45,35,50,50,10240,ドラゴン,,はりきり,『こうげき』が1.5倍になるが、物理攻撃の命中率が0.8倍になる。／レベルの高い野生のポケモンと出会いやすくなる。,,,,,142,142,,,,,,,,,,,,,,,,,,
ジヘッド,634,,あく,ドラゴン,1,モノズ,50,ジヘッド,64,サザンドラ,72,85,70,65,70,58,70,420,0,2,0,0,0,0,45,35,50,50,10240,ドラゴン,,はりきり,『こうげき』が1.5倍になるが、物理攻撃の命中率が0.8倍になる。／レベルの高い野生のポケモンと出会いやすくなる。,,,,,143,143,,,,,,,,,,,,,,,,,,
サザンドラ,635,,あく,ドラゴン,1,モノズ,50,ジヘッド,64,サザンドラ,92,105,90,125,90,98,100,600,0,0,0,3,0,0,45,35,50,50,10240,ドラゴン,,ふゆう,『じめん』タイプの技を受けない。,,,,,144,144,,,,,,,,,,,,,,,,,,
メラルバ,636,,むし,ほのお,1,メラルバ,59,ウルガモス,,,55,85,55,50,55,60,60,360,0,1,0,0,0,0,45,70,50,50,10240,虫,,ほのおのからだ,直接攻撃を受けると、30%の確率で相手を『やけど』状態にする。／『てもち』にいると、ポケモンのタマゴが2倍かえりやすくなる。,むしのしらせ,HPが1/3以下の時、『むし』タイプの技の威力が1.5倍になる。,,,,,,,,,,,,,,,,,,,,,,
ウルガモス,637,,むし,ほのお,1,メラルバ,59,ウルガモス,,,85,60,65,135,105,100,91.7,550,0,0,0,3,0,0,15,70,50,50,10240,虫,,ほのおのからだ,直接攻撃を受けると、30%の確率で相手を『やけど』状態にする。／『てもち』にいると、ポケモンのタマゴが2倍かえりやすくなる。,むしのしらせ,HPが1/3以下の時、『むし』タイプの技の威力が1.5倍になる。,,,,,,,,,,,,,,,,,,,,,,
コバルオン,638,,はがね,かくとう,,,,,,,91,90,129,90,72,108,96.7,580,0,0,3,0,0,0,3,35,,,20480,タマゴ未発見,,せいぎのこころ,『あく』タイプの技を受けると、『こうげき』ランクが1段階上がる。,,,,,,,,,,,,,,,,,,,,,,,,
テラキオン,639,,いわ,かくとう,,,,,,,91,129,90,72,90,108,96.7,580,0,3,0,0,0,0,3,35,,,20480,タマゴ未発見,,せいぎのこころ,『あく』タイプの技を受けると、『こうげき』ランクが1段階上がる。,,,,,,,,,,,,,,,,,,,,,,,,
ビリジオン,640,,くさ,かくとう,,,,,,,91,90,72,90,129,108,96.7,580,0,0,0,0,3,0,3,35,,,20480,タマゴ未発見,,せいぎのこころ,『あく』タイプの技を受けると、『こうげき』ランクが1段階上がる。,,,,,,,,,,,,,,,,,,,,,,,,
トルネロス(けしんフォルム),641,,ひこう,,,,,,,,79,115,70,125,80,111,96.7,580,0,3,0,0,0,0,3,90,100,,30720,タマゴ未発見,,いたずらごころ,自分の使う変化技の優先度が1だけ加算される。優先度0の変化技も優先度+1として『すばやさ』に関係なく先制攻撃できる。,まけんき,相手の技や特性で『のうりょく』ランクが下がった時、自分の『こうげき』ランクが2段階上がる。,,,,,,,,,,,,,,,,,,,,,,
トルネロス(れいじゅうフォルム),641,,ひこう,,,,,,,,79,100,80,110,90,121,96.7,580,0,0,0,0,0,3,3,90,100,,30720,タマゴ未発見,,さいせいりょく,他のポケモンに交代するとHPが最大HPの1/3回復する。,,,,,,,,,,,,,,,,,,,,,,,,
ボルトロス(けしんフォルム),642,,でんき,ひこう,,,,,,,79,115,70,125,80,111,96.7,580,0,3,0,0,0,0,3,90,100,,30720,タマゴ未発見,,いたずらごころ,自分の使う変化技の優先度が1だけ加算される。優先度0の変化技も優先度+1として『すばやさ』に関係なく先制攻撃できる。,まけんき,相手の技や特性で『のうりょく』ランクが下がった時、自分の『こうげき』ランクが2段階上がる。,,,,,,,,,,,,,,,,,,,,,,
ボルトロス(れいじゅうフォルム),642,,でんき,ひこう,,,,,,,79,105,70,145,80,101,96.7,580,0,0,0,3,0,0,3,90,100,,30720,タマゴ未発見,,ちくでん,『でんき』タイプの技を受けるとダメージや効果はなくなり、最大HPの1/4回復する。,,,,,,,,,,,,,,,,,,,,,,,,
レシラム,643,,ドラゴン,ほのお,,,,,,,100,120,100,150,120,90,113.3,680,0,0,0,3,0,0,45,0,,,30720,タマゴ未発見,,ターボブレイズ,相手の特性の影響を受けずに攻撃できる。ただし、攻撃後に受ける効果は消えない。,,,,,,,,,,,,,,,,,,,,,,,,
ゼクロム,644,,ドラゴン,でんき,,,,,,,100,150,120,120,100,90,113.3,680,0,3,0,0,0,0,45,0,,,30720,タマゴ未発見,,テラボルテージ,相手の特性の影響を受けずに攻撃できる。ただし、攻撃後に受ける効果は消えない。,,,,,,,,,,,,,,,,,,,,,,,,
ランドロス(けしんフォルム),645,,じめん,ひこう,,,,,,,89,125,90,115,80,101,100,600,0,0,0,3,0,0,3,90,100,,30720,タマゴ未発見,,すなのちから,天気が『すなあらし』の時、自分の『じめん』『いわ』『はがね』タイプの技の威力が1.3倍になる。また、『すなあらし』によるダメージを受けない。,ちからずく,追加効果のある技を使うと、追加効果が発動しない代わりに威力が1.3倍になる。,,,,,,,,,,,,,,,,,,,,,,
ランドロス(れいじゅうフォルム),645,,じめん,ひこう,,,,,,,89,145,90,105,80,91,100,600,0,3,0,0,0,0,3,90,100,,30720,タマゴ未発見,,いかく,戦闘に出たときに相手の『こうげき』ランクを1段階下げる。／レベルの低い野生のポケモンと出会いにくくなる。,,,,,,,,,,,,,,,,,,,,,,,,
キュレム(通常),646,,ドラゴン,こおり,,,,,,,125,130,90,130,90,95,110,660,1,1,0,1,0,0,3,0,,,30720,タマゴ未発見,,プレッシャー,技を受けた時、技のPPを2減らす。／レベルの高い野生のポケモンと出会いやすくなる。,,,,,,,,,,,,,,,,,,,,,,,,
キュレム(ブラックキュレム),646,,ドラゴン,こおり,,,,,,,125,170,100,120,90,95,116.7,700,0,3,0,0,0,0,3,0,,,30720,タマゴ未発見,,テラボルテージ,相手の特性の影響を受けずに攻撃できる。ただし、攻撃後に受ける効果は消えない。,,,,,,,,,,,,,,,,,,,,,,,,
キュレム(ホワイトキュレム),646,,ドラゴン,こおり,,,,,,,125,120,90,170,100,95,116.7,700,0,0,0,3,0,0,3,0,,,30720,タマゴ未発見,,ターボブレイズ,相手の特性の影響を受けずに攻撃できる。ただし、攻撃後に受ける効果は消えない。,,,,,,,,,,,,,,,,,,,,,,,,
ケルディオ(いつものすがた),647,,みず,かくとう,,,,,,,91,72,90,129,90,108,96.7,580,0,0,0,3,0,0,3,35,,,20480,タマゴ未発見,,せいぎのこころ,『あく』タイプの技を受けると、『こうげき』ランクが1段階上がる。,,,,,,,,,,,,,,,,,,,,,,,,
ケルディオ(かくごのすがた),647,,みず,かくとう,,,,,,,91,72,90,129,90,108,96.7,580,0,0,0,3,0,0,3,35,,,20480,タマゴ未発見,,せいぎのこころ,『あく』タイプの技を受けると、『こうげき』ランクが1段階上がる。,,,,,,,,,,,,,,,,,,,,,,,,
メロエッタ(ボイスフォルム),648,,ノーマル,エスパー,,,,,,,100,77,77,128,128,90,100,600,0,0,0,1,1,1,3,100,,,30720,タマゴ未発見,,てんのめぐみ,技の追加効果の発生率が2倍になる。,,,,,,,,,,,,,,,,,,,,,,,,
メロエッタ(ステップフォルム),648,,ノーマル,かくとう,,,,,,,100,128,90,77,77,128,100,600,0,1,1,0,0,1,3,100,,,30720,タマゴ未発見,,てんのめぐみ,技の追加効果の発生率が2倍になる。,,,,,,,,,,,,,,,,,,,,,,,,
ゲノセクト,649,,むし,はがね,,,,,,,71,120,95,120,95,99,100,600,0,1,0,1,0,1,3,0,,,30720,タマゴ未発見,,ダウンロード,相手の『ぼうぎょ』が『とくぼう』より低い場合は『こうげき』ランクを、『とくぼう』の方が低い場合は『とくこう』ランクを1段階上げる。,,,,,,,,,,,,,,,,,,,,,,,,
ハリマロン,650,001,くさ,,1,ハリマロン,16,ハリボーグ,36,ブリガロン,56,61,65,48,45,38,52.2,313,0,0,1,0,0,0,45,70,87.5,12.5,5120,陸上,,しんりょく,HPが1/3以下の時、『くさ』タイプの技の威力が1.5倍になる。,ぼうだん,たま・爆弾系の技『アイスボール』『アシッドボム』『ウェザーボール』『エナジーボール』『エレキボール』『オクタンほう』『かえんだん』『がんせきほう』『きあいだま』『ジャイロボール』『シャドーボール』『タネばくだん』『タネマシンガン』『タマゴばくだん』『たまなげ』『でんじほう』『どろばくだん』『はどうだん』『ヘドロばくだん』『マグネットボム』『ミストボール』を無効化する。,,,,,,,,,,,,,,,,,,,,,,
ハリボーグ,651,002,くさ,,1,ハリマロン,16,ハリボーグ,36,ブリガロン,61,78,95,56,58,57,67.5,405,0,0,2,0,0,0,45,70,87.5,12.5,5120,陸上,,しんりょく,HPが1/3以下の時、『くさ』タイプの技の威力が1.5倍になる。,ぼうだん,たま・爆弾系の技『アイスボール』『アシッドボム』『ウェザーボール』『エナジーボール』『エレキボール』『オクタンほう』『かえんだん』『がんせきほう』『きあいだま』『ジャイロボール』『シャドーボール』『タネばくだん』『タネマシンガン』『タマゴばくだん』『たまなげ』『でんじほう』『どろばくだん』『はどうだん』『ヘドロばくだん』『マグネットボム』『ミストボール』を無効化する。,,,,,,,,,,,,,,,,,,,,,,
ブリガロン,652,003,くさ,かくとう,1,ハリマロン,16,ハリボーグ,36,ブリガロン,88,107,122,74,75,64,88.3,530,0,0,3,0,0,0,45,70,87.5,12.5,5120,陸上,,しんりょく,HPが1/3以下の時、『くさ』タイプの技の威力が1.5倍になる。,ぼうだん,たま・爆弾系の技『アイスボール』『アシッドボム』『ウェザーボール』『エナジーボール』『エレキボール』『オクタンほう』『かえんだん』『がんせきほう』『きあいだま』『ジャイロボール』『シャドーボール』『タネばくだん』『タネマシンガン』『タマゴばくだん』『たまなげ』『でんじほう』『どろばくだん』『はどうだん』『ヘドロばくだん』『マグネットボム』『ミストボール』を無効化する。,,,,,,,,,,,,,,,,,,,,,,
フォッコ,653,004,ほのお,,1,フォッコ,16,テールナー,36,マフォクシー,40,45,40,62,60,60,51.2,307,0,0,0,1,0,0,45,70,87.5,12.5,5120,陸上,,もうか,HPが1/3以下の時、『ほのお』タイプの技の威力が1.5倍になる。,マジシャン,自分の攻撃時、技を当てた相手が持っている道具を奪う。,,,,,,,,,,,,,,,,,,,,,,
テールナー,654,005,ほのお,,1,フォッコ,16,テールナー,36,マフォクシー,59,59,58,90,70,73,68.2,409,0,0,0,2,0,0,45,70,87.5,12.5,5120,陸上,,もうか,HPが1/3以下の時、『ほのお』タイプの技の威力が1.5倍になる。,マジシャン,自分の攻撃時、技を当てた相手が持っている道具を奪う。,,,,,,,,,,,,,,,,,,,,,,
マフォクシー,655,006,ほのお,エスパー,1,フォッコ,16,テールナー,36,マフォクシー,75,69,72,114,100,104,89,534,0,0,0,3,0,0,45,70,87.5,12.5,5120,陸上,,もうか,HPが1/3以下の時、『ほのお』タイプの技の威力が1.5倍になる。,マジシャン,自分の攻撃時、技を当てた相手が持っている道具を奪う。,,,,,,,,,,,,,,,,,,,,,,
ケロマツ,656,007,みず,,1,ケロマツ,16,ゲコガシラ,36,ゲッコウガ,41,56,40,62,44,71,52.3,314,0,0,0,0,0,1,45,70,87.5,12.5,5120,水中1,,げきりゅう,HPが1/3以下の時、『みず』タイプの技の威力が1.5倍になる。,へんげんじざい,自分の技を出すタイミングで、自分のタイプが技と同じタイプになる。,,,,,,,,,,,,,,,,,,,,,,
ゲコガシラ,657,008,みず,,1,ケロマツ,16,ゲコガシラ,36,ゲッコウガ,54,63,52,83,56,97,67.5,405,0,0,0,0,0,2,45,70,87.5,12.5,5120,水中1,,げきりゅう,HPが1/3以下の時、『みず』タイプの技の威力が1.5倍になる。,へんげんじざい,自分の技を出すタイミングで、自分のタイプが技と同じタイプになる。,,,,,,,,,,,,,,,,,,,,,,
